key,spec,probe
FSProbe_Cal_F0_BE_Error,[1.0703~0.9238],Cal Probe 6
FSProbe_Cal_F0_INT_Ratio_Meas,[1.0695~0.9295],"Cal Probe 1,2,3"
FSProbe_Cal_F0_INT_Uniformity_All,[0.12~-0.12],"Cal Probe 1,2,3,4"
FSProbe_Cal_F0_INT_Uniformity_Bot,[0.08~-0.08],"Cal Probe 2,3"
FSProbe_Cal_F0_INT_Uniformity_Top,[0.08~-0.08],"Cal Probe 1,2"
FSProbe_Cal_F0_INT2TC_Error,[2.4916~0],"Cal Probe 2,8"
FSProbe_Cal_F0_LE_Error,[1.07~0.9231],Cal Probe 4
FSProbe_Cal_F0_MC_Median_Gain,[0.957~0.7535],"Cal Probe 1,2,3,4"
FSProbe_Cal_F0_RE_Error,[1.0797~0.9229],Cal Probe 6
FSProbe_Cal_F0_TCINT_Ratio,[1.6268~1.0027],Cal Probe 8
FSProbe_Cal_F0_TE_Error,[1.0944~0.8912],Cal Probe 5
FSProbe_Cal_F2_BE_Error,[1.074~0.927],Cal Probe 7
FSProbe_Cal_F2_INT_Ratio_Meas,[1.067~0.9274],"Cal Probe 1,2,3"
FSProbe_Cal_F2_INT_Uniformity_All,[0.12~-0.12],"Cal Probe 1,2,3,4"
FSProbe_Cal_F2_INT_Uniformity_Bot,[0.08~-0.08],"Cal Probe 2,3"
FSProbe_Cal_F2_INT_Uniformity_Top,[0.08~-0.08],"Cal Probe 1,2"
FSProbe_Cal_F2_INT2TC_Error,[2.474~0],"Cal Probe 2,8"
FSProbe_Cal_F2_LE_Error,[1.0723~0.9249],Cal Probe 4
FSProbe_Cal_F2_MC_Median_Gain,[1.0812~0.8342],"Cal Probe 1,2,3,4"
FSProbe_Cal_F2_RE_Error,[1.0831~0.9257],Cal Probe 6
FSProbe_Cal_F2_TCINT_Ratio,[1.4932~1.0691],Cal Probe 8
FSProbe_Cal_F2_TE_Error,[1.0851~0.8814],Cal Probe 5
FSProbe_Cal_F3_BE_Error,[1.0745~0.9266],Cal Probe 7
FSProbe_Cal_F3_INT_Ratio_Meas,[1.0664~0.9268],"Cal Probe 1,2,3"
FSProbe_Cal_F3_INT_Uniformity_All,[0.12~-0.12],"Cal Probe 1,2,3,4"
FSProbe_Cal_F3_INT_Uniformity_Bot,[0.08~-0.08],"Cal Probe 2,3"
FSProbe_Cal_F3_INT_Uniformity_Top,[0.08~-0.08],"Cal Probe 1,2"
FSProbe_Cal_F3_INT2TC_Error,[2.4778~0],"Cal Probe 2,8"
FSProbe_Cal_F3_LE_Error,[1.0933~0.9361],Cal Probe 4
FSProbe_Cal_F3_MC_Median_Gain,[1.1067~0.8542],"Cal Probe 1,2,3,4"
FSProbe_Cal_F3_RE_Error,[1.0838~0.9263],Cal Probe 6
FSProbe_Cal_F3_TCINT_Ratio,[1.4861~1.082],Cal Probe 8
FSProbe_Cal_F3_TE_Error,[1.0854~0.8817],Cal Probe 5
FSProbe_Cal_F4_BE_Error,[1.0759~0.9285],Cal Probe 6
FSProbe_Cal_F4_INT_Ratio_Meas,[1.0648~0.9254],"Cal Probe 1,2,3"
FSProbe_Cal_F4_INT_Uniformity_All,[0.12~-0.12],"Cal Probe 1,2,3,4"
FSProbe_Cal_F4_INT_Uniformity_Bot,[0.08~-0.08],"Cal Probe 2,3"
FSProbe_Cal_F4_INT_Uniformity_Top,[0.08~-0.08],"Cal Probe 1,2"
FSProbe_Cal_F4_INT2TC_Error,[2.4807~0],"Cal Probe 2,8"
FSProbe_Cal_F4_LE_Error,[1.0848~0.9271],Cal Probe 4
FSProbe_Cal_F4_MC_Median_Gain,[1.1482~0.8905],"Cal Probe 1,2,3,4"
FSProbe_Cal_F4_RE_Error,[1.096~0.9283],Cal Probe 6
FSProbe_Cal_F4_TCINT_Ratio,[1.464~1.0935],Cal Probe 8
FSProbe_Cal_F4_TE_Error,[1.0849~0.8813],Cal Probe 5
FSProbe_Cal_Raw_F0_R00C05,[1267.8348~801.7975],Cal Probe 7
FSProbe_Cal_Raw_F0_R08C07,[1356.6754~946.0188],Cal Probe 3
FSProbe_Cal_Raw_F0_R13C14,[1383.1301~926.0332],Cal Probe 6
FSProbe_Cal_Raw_F0_R16C07,[1356.6754~946.0188],Cal Probe 2
FSProbe_Cal_Raw_F0_R20C00,[1336.0958~894.0282],Cal Probe 4
FSProbe_Cal_Raw_F0_R24C07,[1356.6754~946.0188],Cal Probe 1
FSProbe_Cal_Raw_F0_R31C05,[849.2003~491.4169],Cal Probe 8
FSProbe_Cal_Raw_F0_R31C06,[479.686~148.7526],Cal Probe 8
FSProbe_Cal_Raw_F0_R31C07,[410.0554~199.9686],Cal Probe 8
FSProbe_Cal_Raw_F0_R31C08,[819.1867~340.2384],Cal Probe 8
FSProbe_Cal_Raw_F0_R31C09,[484.8492~101.5388],Cal Probe 8
FSProbe_Cal_Raw_F0_R32C05,[955.3893~574.1738],Cal Probe 8
FSProbe_Cal_Raw_F0_R32C06,[756.024~407.6461],Cal Probe 8
FSProbe_Cal_Raw_F0_R32C07,[771.674~414.8226],Cal Probe 8
FSProbe_Cal_Raw_F0_R32C08,[940.4511~512.8108],Cal Probe 8
FSProbe_Cal_Raw_F0_R32C09,[754.1857~289.5577],Cal Probe 8
FSProbe_Cal_Raw_F0_R32C13,[1036.0092~607.5133],Cal Probe 5
FSProbe_Cal_Raw_F2_R00C05,[1160.1659~711.5405],Cal Probe 7
FSProbe_Cal_Raw_F2_R08C07,[1240.6074~818.9281],Cal Probe 3
FSProbe_Cal_Raw_F2_R13C14,[1255.8348~794.5697],Cal Probe 6
FSProbe_Cal_Raw_F2_R16C07,[1240.6074~818.9281],Cal Probe 2
FSProbe_Cal_Raw_F2_R20C00,[1219.7212~777.3458],Cal Probe 4
