key,spec
AID_AMaj,[3~3]
AID_AMin,[0~0]
AID_ARev,[1~1]
AID_CLen,[550~546]
AID_PID,[1~1]
AID_SelfTestResult,[0~0]
AID_VID,[2~2]
B_DefaultResDTN_MC_F0_IMGALL_REG01,[2.5125~0.000000001]
B_DefaultResDTN_MC_F0_IMGALL_REG02,[2.7135~0]
B_DefaultResDTN_MC_F0_IMGALL_REG03,[2.9145~0]
B_DefaultResDTN_MC_F0_IMGALL_REG04,[3.1155~0]
B_DefaultResDTN_MC_F0_IMGALL_REG05,[13.467~0]
B_DefaultResDTN_MC_F0_IMGALL_REG06,[5.226~0]
B_DefaultResDTN_MC_F0_IMGALL_REG07,[4.422~0]
B_DefaultResDTN_MC_F0_IMGALL_REG08,[8.9445~0]
B_DefaultResDTN_MC_F0_IMGALL_REG09,[6.1305~0]
B_DefaultResDTN_MC_F0_IMGALL_REG10,[15.477~0]
B_DefaultResDTN_MC_F0_IMGUI_REG01,[1.005~0.000000001]
B_DefaultResDTN_MC_F0_IMGUI_REG02,[1.1055~0]
B_DefaultResDTN_MC_F0_IMGUI_REG03,[1.206~0]
B_DefaultResDTN_MC_F0_IMGUI_REG04,[1.206~0]
B_DefaultResDTN_MC_F0_IMGUI_REG05,[5.427~0]
B_DefaultResDTN_MC_F0_IMGUI_REG06,[2.1105~0]
B_DefaultResDTN_MC_F0_IMGUI_REG07,[1.809~0]
B_DefaultResDTN_MC_F0_IMGUI_REG08,[3.5175~0]
B_DefaultResDTN_MC_F0_IMGUI_REG09,[2.412~0]
B_DefaultResDTN_MC_F0_IMGUI_REG10,[6.231~0]
B_DefaultResDTN_MC_F2_IMGALL_REG01,[2.5125~0.000000001]
B_DefaultResDTN_MC_F2_IMGALL_REG02,[2.875305~0]
B_DefaultResDTN_MC_F2_IMGALL_REG03,[2.9145~0]
B_DefaultResDTN_MC_F2_IMGALL_REG04,[3.1155~0]
B_DefaultResDTN_MC_F2_IMGALL_REG05,[13.467~0]
B_DefaultResDTN_MC_F2_IMGALL_REG06,[5.226~0]
B_DefaultResDTN_MC_F2_IMGALL_REG07,[4.422~0]
B_DefaultResDTN_MC_F2_IMGALL_REG08,[9.5632785~0]
B_DefaultResDTN_MC_F2_IMGALL_REG09,[6.1305~0]
B_DefaultResDTN_MC_F2_IMGALL_REG10,[15.775083~0]
B_DefaultResDTN_MC_F2_IMGUI_REG01,[1.005~0.000000001]
B_DefaultResDTN_MC_F2_IMGUI_REG02,[1.1055~0]
B_DefaultResDTN_MC_F2_IMGUI_REG03,[1.206~0]
B_DefaultResDTN_MC_F2_IMGUI_REG04,[1.206~0]
B_DefaultResDTN_MC_F2_IMGUI_REG05,[5.427~0]
B_DefaultResDTN_MC_F2_IMGUI_REG06,[2.1105~0]
B_DefaultResDTN_MC_F2_IMGUI_REG07,[1.809~0]
B_DefaultResDTN_MC_F2_IMGUI_REG08,[3.5175~0]
B_DefaultResDTN_MC_F2_IMGUI_REG09,[2.412~0]
B_DefaultResDTN_MC_F2_IMGUI_REG10,[6.231~0]
B_DefaultResDTN_MC_F3_IMGALL_REG01,[2.5125~0.000000001]
B_DefaultResDTN_MC_F3_IMGALL_REG02,[2.7135~0]
B_DefaultResDTN_MC_F3_IMGALL_REG03,[4.5217965~0]
B_DefaultResDTN_MC_F3_IMGALL_REG04,[3.1155~0]
B_DefaultResDTN_MC_F3_IMGALL_REG05,[14.061558~0]
B_DefaultResDTN_MC_F3_IMGALL_REG06,[9.645588~0]
B_DefaultResDTN_MC_F3_IMGALL_REG07,[4.422~0]
B_DefaultResDTN_MC_F3_IMGALL_REG08,[8.9445~0]
B_DefaultResDTN_MC_F3_IMGALL_REG09,[6.1305~0]
B_DefaultResDTN_MC_F3_IMGALL_REG10,[15.477~0]
B_DefaultResDTN_MC_F3_IMGUI_REG01,[1.005~0.000000001]
B_DefaultResDTN_MC_F3_IMGUI_REG02,[1.1055~0]
B_DefaultResDTN_MC_F3_IMGUI_REG03,[1.206~0]
B_DefaultResDTN_MC_F3_IMGUI_REG04,[1.206~0]
B_DefaultResDTN_MC_F3_IMGUI_REG05,[5.427~0]
B_DefaultResDTN_MC_F3_IMGUI_REG06,[2.1105~0]
B_DefaultResDTN_MC_F3_IMGUI_REG07,[1.809~0]
B_DefaultResDTN_MC_F3_IMGUI_REG08,[3.5175~0]
B_DefaultResDTN_MC_F3_IMGUI_REG09,[2.412~0]
B_DefaultResDTN_MC_F3_IMGUI_REG10,[6.231~0]
B_DefaultResDTN_MC_F4_IMGALL_REG01,[2.5125~0.000000001]
B_DefaultResDTN_MC_F4_IMGALL_REG02,[2.7135~0]
B_DefaultResDTN_MC_F4_IMGALL_REG03,[4.7718405~0]
B_DefaultResDTN_MC_F4_IMGALL_REG04,[3.1155~0]
B_DefaultResDTN_MC_F4_IMGALL_REG05,[15.05892~0]
B_DefaultResDTN_MC_F4_IMGALL_REG06,[5.226~0]
B_DefaultResDTN_MC_F4_IMGALL_REG07,[4.422~0]
