BCRData,upperLimit,lowerLimit
SWITCH_XOR CHECK_RESULT check_result,1.8,0.8
3P85_60Hz_2175NITS_W255_APL30_DVDD_V,2000,1600
3P85_60Hz_2175NITS_W255_APL30_VDD_V,1230,905
3P85_60Hz_2175NITS_W255_APL30_VCI_V,3300,2800
3P85_60Hz_2175NITS_W255_APL30_VCI_I,1,0
3P85_60Hz_2175NITS_W255_APL30_DVDDL_V,1370,1030
3P85_60Hz_2175NITS_W255_APL30_DVDDL_I,1,-1
3P85_60Hz_2175NITS_W255_APL30_VBAT_V,3950,3750
3P85_60Hz_1600NITS_W255_APL70_DVDD_V,2000,1600
3P85_60Hz_1600NITS_W255_APL70_VDD_V,1230,905
3P85_60Hz_1600NITS_W255_APL70_VCI_V,3300,2800
3P85_60Hz_1600NITS_W255_APL70_VCI_I,1,0
3P85_60Hz_1600NITS_W255_APL70_DVDDL_V,1370,1030
3P85_60Hz_1600NITS_W255_APL70_DVDDL_I,1,-1
3P85_60Hz_1600NITS_W255_APL70_VBAT_V,3950,3750
3P85_60Hz_1200NITS_W255_DVDD_V,2000,1600
3P85_60Hz_1200NITS_W255_VDD_V,1230,905
3P85_60Hz_1200NITS_W255_VCI_V,3300,2800
3P85_60Hz_1200NITS_W255_VCI_I,1,0
3P85_60Hz_1200NITS_W255_DVDDL_V,1370,1030
3P85_60Hz_1200NITS_W255_DVDDL_I,1,-1
3P85_60Hz_1200NITS_W255_VBAT_V,4000,3700
3P85_60Hz_650NITS_W255_DVDD_V,2000,1600
3P85_60Hz_650NITS_W255_VDD_V,1230,905
3P85_60Hz_650NITS_W255_VCI_V,3300,2800
3P85_60Hz_650NITS_W255_VCI_I,1,0
3P85_60Hz_650NITS_W255_DVDDL_V,1370,1030
3P85_60Hz_650NITS_W255_DVDDL_I,1,-1
3P85_60Hz_650NITS_W255_VBAT_V,4000,3700
3P85_60Hz_650NITS_BLK_DVDD_V,2000,1600
3P85_60Hz_650NITS_BLK_VDD_V,1230,905
3P85_60Hz_650NITS_BLK_VCI_V,3300,2800
3P85_60Hz_650NITS_BLK_VCI_I,1,0
3P85_60Hz_650NITS_BLK_DVDDL_V,1370,1030
3P85_60Hz_650NITS_BLK_DVDDL_I,1,-1
3P85_60Hz_650NITS_BLK_VBAT_V,4000,3700
3P85_30Hz_650NITS_BLK_DVDD_V,2000,1600
3P85_30Hz_650NITS_BLK_VDD_V,1230,905
3P85_30Hz_650NITS_BLK_VCI_V,3300,2800
3P85_30Hz_650NITS_BLK_VCI_I,1,0
3P85_30Hz_650NITS_BLK_DVDDL_V,1370,1030
3P85_30Hz_650NITS_BLK_DVDDL_I,1,-1
3P85_30Hz_650NITS_BLK_VBAT_V,4000,3700
3P85_60Hz_155NITS_W255_DVDD_V,2000,1600
3P85_60Hz_155NITS_W255_VDD_V,1230,905
3P85_60Hz_155NITS_W255_VCI_V,3300,2800
3P85_60Hz_155NITS_W255_VCI_I,1,0
3P85_60Hz_155NITS_W255_DVDDL_V,1370,1030
3P85_60Hz_155NITS_W255_DVDDL_I,1,-1
3P85_60Hz_155NITS_W255_VBAT_V,4000,3700
3P85_60Hz_155NITS_16x16CHECKER_DVDD_V,2000,1600
3P85_60Hz_155NITS_16x16CHECKER_VDD_V,1230,905
3P85_60Hz_155NITS_16x16CHECKER_VCI_V,3300,2800
3P85_60Hz_155NITS_16x16CHECKER_VCI_I,1,0
3P85_60Hz_155NITS_16x16CHECKER_DVDDL_V,1370,1030
3P85_60Hz_155NITS_16x16CHECKER_DVDDL_I,1,-1
3P85_60Hz_155NITS_16x16CHECKER_VBAT_V,4000,3700
3P85_60Hz_15NITS_W255_DVDD_V,2000,1600
3P85_60Hz_15NITS_W255_VDD_V,1230,905
3P85_60Hz_15NITS_W255_VCI_V,3300,2800
3P85_60Hz_15NITS_W255_VCI_I,1,0
3P85_60Hz_15NITS_W255_DVDDL_V,1370,1030
3P85_60Hz_15NITS_W255_DVDDL_I,1,-1
3P85_60Hz_15NITS_W255_VBAT_V,4000,3700
CA410_10NITS_R51_Y,0.15,0
CA410_10NITS_G51_Y,0.48,0
CA410_duv_DELTA_GREEN_PRIMARY_SHIFT,0.0225,0
650NITS_W10_FOS WU CenterBand,0.06,-0.06
MATH_FFR_10NITS_W168_Y,1.01,0.69
MATH_FFR_10NITS_W168_duv,0.06,0
MATH_FFR_10NITS_W87_Y,1.01,0.44
MATH_FFR_10NITS_W87_duv,0.06,0
MATH_FFR_10NITS_W51_duv,0.12,0
60HZ_FREQ MEAS FRAME_RATE,60.6,59.4
650NITS_W255_FOS WU dYExtraAratio,1.03,0.97
650NITS_W255_FOS WU dYExtraBratio,1.03,0.97
650NITS_W255_FOS WU dYExtraCratio,1.09,0.91
650NITS_W255_FOS WU dYExtraDratio,1.06,0.94
650NITS_W255_FOS WU duvExtraA,0.003,0
650NITS_W255_FOS WU duvExtraB,0.003,0
650NITS_W255_FOS WU duvExtraC,0.006,0
650NITS_W255_FOS WU duvExtraD,0.004,0
650NITS_W255_FOS WU dYOverPanelratio,100,69.4
650NITS_W255_FOS WU duvOverPanel,0.0108,0
650NITS_W255_FOS WU duvWorstNeig,0.0045,0
650NITS_W255_FOS WU frameGreen,6.9,0
650NITS_W255_FOS WU framePink,6.48,0
650NITS_W255_FOS BLSH Band_H_bright,7.24,0
650NITS_W255_FOS BLSH Band_H_bright_notch,7.24,0
650NITS_W255_FOS BLSH Band_H_dark,0,-7.24
650NITS_W255_FOS BLSH Band_H_dark_notch,0,-7.24
650NITS_W255_FOS BLSH Band_V_bright,7.24,0
